LocusID	GOterm	GOdesc	Ontology
Solyc00g277510	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500019	GO:0009522	photosystem I	CC
Solyc00g500019	GO:0009579	thylakoid	CC
Solyc00g500019	GO:0015979	photosynthesis	BP
Solyc00g500019	GO:0016021	integral component of membrane	CC
Solyc00g500024	GO:0009521	photosystem	CC
Solyc00g500024	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g500024	GO:0016020	membrane	CC
Solyc00g500024	GO:0016168	chlorophyll binding	MF
Solyc00g500024	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500026	GO:0009523	photosystem II	CC
Solyc00g500026	GO:0015979	photosynthesis	BP
Solyc00g500026	GO:0016020	membrane	CC
Solyc00g500026	GO:0042301	phosphate ion binding	MF
Solyc00g500026	GO:0050821	protein stabilization	BP
Solyc00g500028	GO:0009055	electron transfer activity	MF
Solyc00g500028	GO:0016020	membrane	CC
Solyc00g500028	GO:0016491	oxidoreductase activity	MF
Solyc00g500029	GO:0003735	structural constituent of ribosome	MF
Solyc00g500029	GO:0005622	intracellular anatomical structure	CC
Solyc00g500029	GO:0005840	ribosome	CC
Solyc00g500029	GO:0006412	translation	BP
Solyc00g500030	GO:0003735	structural constituent of ribosome	MF
Solyc00g500030	GO:0005840	ribosome	CC
Solyc00g500030	GO:0006412	translation	BP
Solyc00g500031	GO:0003735	structural constituent of ribosome	MF
Solyc00g500031	GO:0005840	ribosome	CC
Solyc00g500031	GO:0006412	translation	BP
Solyc00g500032	GO:0003735	structural constituent of ribosome	MF
Solyc00g500032	GO:0005840	ribosome	CC
Solyc00g500032	GO:0006412	translation	BP
Solyc00g500035	GO:0003735	structural constituent of ribosome	MF
Solyc00g500035	GO:0005840	ribosome	CC
Solyc00g500035	GO:0006412	translation	BP
Solyc00g500036	GO:0003735	structural constituent of ribosome	MF
Solyc00g500036	GO:0005840	ribosome	CC
Solyc00g500036	GO:0006412	translation	BP
Solyc00g500039	GO:0003735	structural constituent of ribosome	MF
Solyc00g500039	GO:0005840	ribosome	CC
Solyc00g500039	GO:0006412	translation	BP
Solyc00g500040	GO:0016021	integral component of membrane	CC
Solyc00g500041	GO:0016020	membrane	CC
Solyc00g500041	GO:0055114	oxidoreductase process	MF
Solyc00g500043	GO:0016021	integral component of membrane	CC
Solyc00g500044	GO:0003735	structural constituent of ribosome	MF
Solyc00g500044	GO:0005622	intracellular anatomical structure	CC
Solyc00g500044	GO:0005840	ribosome	CC
Solyc00g500044	GO:0006412	translation	BP
Solyc00g500051	GO:0003735	structural constituent of ribosome	MF
Solyc00g500051	GO:0005622	intracellular anatomical structure	CC
Solyc00g500051	GO:0005840	ribosome	CC
Solyc00g500051	GO:0006412	translation	BP
Solyc00g500053	GO:0003677	DNA binding	MF
Solyc00g500053	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	MF
Solyc00g500053	GO:0006351	DNA-templated transcription	BP
Solyc00g500054	GO:0009521	photosystem	CC
Solyc00g500054	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g500054	GO:0016020	membrane	CC
Solyc00g500054	GO:0016168	chlorophyll binding	MF
Solyc00g500054	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500056	GO:0009522	photosystem I	CC
Solyc00g500056	GO:0009579	thylakoid	CC
Solyc00g500056	GO:0015979	photosynthesis	BP
Solyc00g500056	GO:0016021	integral component of membrane	CC
Solyc00g500057	GO:0009522	photosystem I	CC
Solyc00g500057	GO:0009579	thylakoid	CC
Solyc00g500057	GO:0015979	photosynthesis	BP
Solyc00g500057	GO:0016021	integral component of membrane	CC
Solyc00g500058	GO:0016020	membrane	CC
Solyc00g500058	GO:0055114	oxidoreductase process	MF
Solyc00g500061	GO:0003735	structural constituent of ribosome	MF
Solyc00g500061	GO:0005840	ribosome	CC
Solyc00g500061	GO:0006412	translation	BP
Solyc00g500064	GO:0009523	photosystem II	CC
Solyc00g500064	GO:0015979	photosynthesis	BP
Solyc00g500064	GO:0016020	membrane	CC
Solyc00g500064	GO:0042301	phosphate ion binding	MF
Solyc00g500064	GO:0050821	protein stabilization	BP
Solyc00g500066	GO:0003735	structural constituent of ribosome	MF
Solyc00g500066	GO:0005840	ribosome	CC
Solyc00g500066	GO:0006412	translation	BP
Solyc00g500068	GO:0009055	electron transfer activity	MF
Solyc00g500068	GO:0016020	membrane	CC
Solyc00g500068	GO:0016491	oxidoreductase activity	MF
Solyc00g500071	GO:0009521	photosystem	CC
Solyc00g500071	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g500071	GO:0016020	membrane	CC
Solyc00g500071	GO:0016168	chlorophyll binding	MF
Solyc00g500071	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500072	GO:0009523	photosystem II	CC
Solyc00g500072	GO:0015979	photosynthesis	BP
Solyc00g500072	GO:0016020	membrane	CC
Solyc00g500072	GO:0042301	phosphate ion binding	MF
Solyc00g500072	GO:0050821	protein stabilization	BP
Solyc00g500073	GO:0009055	electron transfer activity	MF
Solyc00g500073	GO:0016020	membrane	CC
Solyc00g500073	GO:0016491	oxidoreductase activity	MF
Solyc00g500074	GO:0009522	photosystem I	CC
Solyc00g500074	GO:0009579	thylakoid	CC
Solyc00g500074	GO:0015979	photosynthesis	BP
Solyc00g500074	GO:0016021	integral component of membrane	CC
Solyc00g500075	GO:0003735	structural constituent of ribosome	MF
Solyc00g500075	GO:0005840	ribosome	CC
Solyc00g500075	GO:0006412	translation	BP
Solyc00g500076	GO:0003735	structural constituent of ribosome	MF
Solyc00g500076	GO:0005840	ribosome	CC
Solyc00g500076	GO:0006412	translation	BP
Solyc00g500077	GO:0003735	structural constituent of ribosome	MF
Solyc00g500077	GO:0005840	ribosome	CC
Solyc00g500077	GO:0006412	translation	BP
Solyc00g500079	GO:0003735	structural constituent of ribosome	MF
Solyc00g500079	GO:0005840	ribosome	CC
Solyc00g500079	GO:0006412	translation	BP
Solyc00g500080	GO:0003735	structural constituent of ribosome	MF
Solyc00g500080	GO:0005840	ribosome	CC
Solyc00g500080	GO:0006412	translation	BP
Solyc00g500082	GO:0003735	structural constituent of ribosome	MF
Solyc00g500082	GO:0005840	ribosome	CC
Solyc00g500082	GO:0006412	translation	BP
Solyc00g500083	GO:0009523	photosystem II	CC
Solyc00g500083	GO:0015979	photosynthesis	BP
Solyc00g500083	GO:0016020	membrane	CC
Solyc00g500083	GO:0042301	phosphate ion binding	MF
Solyc00g500083	GO:0050821	protein stabilization	BP
Solyc00g500084	GO:0016021	integral component of membrane	CC
Solyc00g500085	GO:0017004	cytochrome complex assembly	BP
Solyc00g500085	GO:0020037	heme binding	MF
Solyc00g500086	GO:0016020	membrane	CC
Solyc00g500086	GO:0055114	oxidoreductase process	MF
Solyc00g500087	GO:0016651	"oxidoreductase activity	 acting on NAD(P)H"	MF
Solyc00g500087	GO:0048038	quinone binding	MF
Solyc00g500087	GO:0051287	NAD binding	MF
Solyc00g500087	GO:0055114	oxidoreductase process	MF
Solyc00g500101	GO:0016021	integral component of membrane	CC
Solyc00g500101	GO:0022900	electron transport chain	BP
Solyc00g500102	GO:0016021	integral component of membrane	CC
Solyc00g500102	GO:0022900	electron transport chain	BP
Solyc00g500103	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
Solyc00g500103	GO:0042773	ATP synthesis coupled electron transport	BP
Solyc00g500103	GO:0055114	oxidoreductase process	MF
Solyc00g500112	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
Solyc00g500112	GO:0042773	ATP synthesis coupled electron transport	BP
Solyc00g500112	GO:0055114	oxidoreductase process	MF
Solyc00g500113	GO:0003723	RNA binding	MF
Solyc00g500113	GO:0003735	structural constituent of ribosome	MF
Solyc00g500113	GO:0005622	intracellular anatomical structure	CC
Solyc00g500113	GO:0005840	ribosome	CC
Solyc00g500113	GO:0006412	translation	BP
Solyc00g500118	GO:0016021	integral component of membrane	CC
Solyc00g500118	GO:0022900	electron transport chain	BP
Solyc00g500123	GO:0016020	membrane	CC
Solyc00g500123	GO:0055114	oxidoreductase process	MF
Solyc00g500124	GO:0016651	"oxidoreductase activity	 acting on NAD(P)H"	MF
Solyc00g500124	GO:0048038	quinone binding	MF
Solyc00g500124	GO:0051287	NAD binding	MF
Solyc00g500124	GO:0055114	oxidoreductase process	MF
Solyc00g500126	GO:0016021	integral component of membrane	CC
Solyc00g500127	GO:0009522	photosystem I	CC
Solyc00g500127	GO:0009579	thylakoid	CC
Solyc00g500127	GO:0015979	photosynthesis	BP
Solyc00g500127	GO:0016021	integral component of membrane	CC
Solyc00g500130	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500130	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500130	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500134	GO:0003735	structural constituent of ribosome	MF
Solyc00g500134	GO:0005622	intracellular anatomical structure	CC
Solyc00g500134	GO:0005840	ribosome	CC
Solyc00g500134	GO:0006412	translation	BP
Solyc00g500136	GO:0009521	photosystem	CC
Solyc00g500136	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g500136	GO:0016020	membrane	CC
Solyc00g500136	GO:0016168	chlorophyll binding	MF
Solyc00g500136	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500138	GO:0009522	photosystem I	CC
Solyc00g500138	GO:0009579	thylakoid	CC
Solyc00g500138	GO:0015979	photosynthesis	BP
Solyc00g500138	GO:0016021	integral component of membrane	CC
Solyc00g500139	GO:0009522	photosystem I	CC
Solyc00g500139	GO:0009579	thylakoid	CC
Solyc00g500139	GO:0015979	photosynthesis	BP
Solyc00g500139	GO:0016021	integral component of membrane	CC
Solyc00g500140	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500141	GO:0005524	ATP binding	MF
Solyc00g500141	GO:0009507	chloroplast	CC
Solyc00g500142	GO:0005524	ATP binding	MF
Solyc00g500142	GO:0009507	chloroplast	CC
Solyc00g500148	GO:0005524	ATP binding	MF
Solyc00g500148	GO:0009507	chloroplast	CC
Solyc00g500149	GO:0005524	ATP binding	MF
Solyc00g500149	GO:0009507	chloroplast	CC
Solyc00g500150	GO:0003735	structural constituent of ribosome	MF
Solyc00g500150	GO:0005840	ribosome	CC
Solyc00g500150	GO:0006412	translation	BP
Solyc00g500151	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500151	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500151	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500152	GO:0003735	structural constituent of ribosome	MF
Solyc00g500152	GO:0005840	ribosome	CC
Solyc00g500152	GO:0006412	translation	BP
Solyc00g500153	GO:0003735	structural constituent of ribosome	MF
Solyc00g500153	GO:0005840	ribosome	CC
Solyc00g500153	GO:0006412	translation	BP
Solyc00g500154	GO:0005524	ATP binding	MF
Solyc00g500154	GO:0009507	chloroplast	CC
Solyc00g500155	GO:0009522	photosystem I	CC
Solyc00g500155	GO:0009579	thylakoid	CC
Solyc00g500155	GO:0015979	photosynthesis	BP
Solyc00g500155	GO:0016021	integral component of membrane	CC
Solyc00g500156	GO:0003735	structural constituent of ribosome	MF
Solyc00g500156	GO:0005840	ribosome	CC
Solyc00g500156	GO:0006412	translation	BP
Solyc00g500157	GO:0005524	ATP binding	MF
Solyc00g500157	GO:0009507	chloroplast	CC
Solyc00g500158	GO:0009055	electron transfer activity	MF
Solyc00g500158	GO:0016020	membrane	CC
Solyc00g500158	GO:0016491	oxidoreductase activity	MF
Solyc00g500168	GO:0016021	integral component of membrane	CC
Solyc00g500173	GO:0000276	"mitochondrial proton-transporting ATP synthase complex	 coupling factor F(o)"	CC
Solyc00g500173	GO:0015078	proton transmembrane transporter activity	MF
Solyc00g500173	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500184	GO:0016651	"oxidoreductase activity	 acting on NAD(P)H"	MF
Solyc00g500184	GO:0048038	quinone binding	MF
Solyc00g500184	GO:0051287	NAD binding	MF
Solyc00g500184	GO:0055114	oxidoreductase process	MF
Solyc00g500186	GO:0004129	cytochrome-c oxidase activity	MF
Solyc00g500186	GO:0009060	aerobic respiration	BP
Solyc00g500186	GO:0016021	integral component of membrane	CC
Solyc00g500186	GO:0020037	heme binding	MF
Solyc00g500186	GO:0055114	oxidoreductase process	MF
Solyc00g500190	GO:0003735	structural constituent of ribosome	MF
Solyc00g500190	GO:0005622	intracellular anatomical structure	CC
Solyc00g500190	GO:0005840	ribosome	CC
Solyc00g500190	GO:0006412	translation	BP
Solyc00g500192	GO:0016651	"oxidoreductase activity	 acting on NAD(P)H"	MF
Solyc00g500192	GO:0048038	quinone binding	MF
Solyc00g500192	GO:0051287	NAD binding	MF
Solyc00g500192	GO:0055114	oxidoreductase process	MF
Solyc00g500193	GO:0016020	membrane	CC
Solyc00g500193	GO:0055114	oxidoreductase process	MF
Solyc00g500194	GO:0017004	cytochrome complex assembly	BP
Solyc00g500194	GO:0020037	heme binding	MF
Solyc00g500196	GO:0016021	integral component of membrane	CC
Solyc00g500199	GO:0009522	photosystem I	CC
Solyc00g500199	GO:0009579	thylakoid	CC
Solyc00g500199	GO:0015979	photosynthesis	BP
Solyc00g500199	GO:0016021	integral component of membrane	CC
Solyc00g500200	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500200	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500200	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500204	GO:0003735	structural constituent of ribosome	MF
Solyc00g500204	GO:0005622	intracellular anatomical structure	CC
Solyc00g500204	GO:0005840	ribosome	CC
Solyc00g500204	GO:0006412	translation	BP
Solyc00g500206	GO:0009521	photosystem	CC
Solyc00g500206	GO:0009767	photosynthetic electron transport chain	BP
Solyc00g500206	GO:0016020	membrane	CC
Solyc00g500206	GO:0016168	chlorophyll binding	MF
Solyc00g500206	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500208	GO:0009522	photosystem I	CC
Solyc00g500208	GO:0009579	thylakoid	CC
Solyc00g500208	GO:0015979	photosynthesis	BP
Solyc00g500208	GO:0016021	integral component of membrane	CC
Solyc00g500209	GO:0009522	photosystem I	CC
Solyc00g500209	GO:0009579	thylakoid	CC
Solyc00g500209	GO:0015979	photosynthesis	BP
Solyc00g500209	GO:0016021	integral component of membrane	CC
Solyc00g500210	GO:0016021	integral component of membrane	CC
Solyc00g500225	GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
Solyc00g500225	GO:0055114	oxidoreductase process	MF
Solyc00g500242	GO:0017004	cytochrome complex assembly	BP
Solyc00g500242	GO:0020037	heme binding	MF
Solyc00g500244	GO:0016021	integral component of membrane	CC
Solyc00g500244	GO:0022900	electron transport chain	BP
Solyc00g500249	GO:0017004	cytochrome complex assembly	BP
Solyc00g500249	GO:0020037	heme binding	MF
Solyc00g500250	GO:0004129	cytochrome-c oxidase activity	MF
Solyc00g500250	GO:0009060	aerobic respiration	BP
Solyc00g500250	GO:0016021	integral component of membrane	CC
Solyc00g500250	GO:0020037	heme binding	MF
Solyc00g500250	GO:0055114	oxidoreductase process	MF
Solyc00g500258	GO:0004568	chitinase activity	MF
Solyc00g500258	GO:0006032	chitin catabolic process	BP
Solyc00g500258	GO:0016998	cell wall macromolecule catabolic process	BP
Solyc00g500275	GO:0016021	integral component of membrane	CC
Solyc00g500275	GO:0022900	electron transport chain	BP
Solyc00g500277	GO:0017004	cytochrome complex assembly	BP
Solyc00g500277	GO:0020037	heme binding	MF
Solyc00g500278	GO:0016021	integral component of membrane	CC
Solyc00g500291	GO:0003735	structural constituent of ribosome	MF
Solyc00g500291	GO:0005622	intracellular anatomical structure	CC
Solyc00g500291	GO:0005840	ribosome	CC
Solyc00g500291	GO:0006412	translation	BP
Solyc00g500296	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500296	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500296	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500297	GO:0003735	structural constituent of ribosome	MF
Solyc00g500297	GO:0005840	ribosome	CC
Solyc00g500297	GO:0006412	translation	BP
Solyc00g500298	GO:0003735	structural constituent of ribosome	MF
Solyc00g500298	GO:0005840	ribosome	CC
Solyc00g500298	GO:0006412	translation	BP
Solyc00g500302	GO:0000276	"mitochondrial proton-transporting ATP synthase complex	 coupling factor F(o)"	CC
Solyc00g500302	GO:0015078	proton transmembrane transporter activity	MF
Solyc00g500302	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500303	GO:0015002	GO:0015002	
Solyc00g500303	GO:0016020	membrane	CC
Solyc00g500310	GO:0016021	integral component of membrane	CC
Solyc00g500310	GO:0022900	electron transport chain	BP
Solyc00g500320	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500320	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500320	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500321	GO:0015078	proton transmembrane transporter activity	MF
Solyc00g500321	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500321	GO:0045263	"proton-transporting ATP synthase complex	 coupling factor F(o)"	CC
Solyc00g500322	GO:0015078	proton transmembrane transporter activity	MF
Solyc00g500322	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500322	GO:0045263	"proton-transporting ATP synthase complex	 coupling factor F(o)"	CC
Solyc00g500324	GO:0016021	integral component of membrane	CC
Solyc00g500329	GO:0009772	photosynthetic electron transport in photosystem II	BP
Solyc00g500329	GO:0019684	"photosynthesis	 light reaction"	BP
Solyc00g500329	GO:0045156	"electron transporter	 transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	MF
Solyc00g500335	GO:0015078	proton transmembrane transporter activity	MF
Solyc00g500335	GO:0015986	proton motive force-driven ATP synthesis	BP
Solyc00g500335	GO:0045263	"proton-transporting ATP synthase complex	 coupling factor F(o)"	CC
Solyc00g500346	GO:0016021	integral component of membrane	CC
Solyc00g500347	GO:0017004	cytochrome complex assembly	BP
Solyc00g500347	GO:0020037	heme binding	MF
Solyc00g500348	GO:0017004	cytochrome complex assembly	BP
Solyc00g500348	GO:0020037	heme binding	MF
Solyc00g500349	GO:0004129	cytochrome-c oxidase activity	MF
Solyc00g500349	GO:0009060	aerobic respiration	BP
Solyc00g500349	GO:0016021	integral component of membrane	CC
Solyc00g500349	GO:0020037	heme binding	MF
Solyc00g500349	GO:0055114	oxidoreductase process	MF
Solyc00g500357	GO:0016021	integral component of membrane	CC
Solyc00g500359	GO:0016021	integral component of membrane	CC
Solyc00g500359	GO:0022900	electron transport chain	BP
Solyc00g500362	GO:0003735	structural constituent of ribosome	MF
Solyc00g500362	GO:0005622	intracellular anatomical structure	CC
Solyc00g500362	GO:0005840	ribosome	CC
Solyc00g500362	GO:0006412	translation	BP
Solyc00g500363	GO:0003735	structural constituent of ribosome	MF
Solyc00g500363	GO:0005622	intracellular anatomical structure	CC
Solyc00g500363	GO:0005840	ribosome	CC
Solyc00g500363	GO:0006412	translation	BP
Solyc01g005000	GO:0016831	carboxy-lyase activity	MF
Solyc01g005000	GO:0019752	carboxylic acid metabolic process	BP
Solyc01g005000	GO:0030170	pyridoxal phosphate binding	MF
Solyc01g005020	GO:0006812	monoatomic cation transport	BP
Solyc01g005020	GO:0015299	GO:0015299	MF
Solyc01g005020	GO:0016021	integral component of membrane	CC
Solyc01g005020	GO:0055085	transmembrane transport	BP
Solyc01g005030	GO:0016021	integral component of membrane	CC
Solyc01g005070	GO:0005543	phospholipid binding	MF
Solyc01g005100	GO:0016491	oxidoreductase activity	MF
Solyc01g005100	GO:0055114	oxidoreductase process	MF
Solyc01g005110	GO:0006486	protein glycosylation	BP
Solyc01g005120	GO:0004553	"hydrolase activity	 hydrolyzing O-glycosyl compounds"	MF
Solyc01g005120	GO:0005975	carbohydrate metabolic process	BP
Solyc01g005170	GO:0005543	phospholipid binding	MF
Solyc01g005210	GO:0003824	catalytic activity	MF
Solyc01g005210	GO:0005992	trehalose biosynthetic process	BP
Solyc01g005230	GO:0008168	methyltransferase activity	MF
Solyc01g005310	GO:0005525	GTP binding	MF
Solyc01g005330	GO:0007010	cytoskeleton organization	BP
Solyc01g005330	GO:0008017	microtubule binding	MF
Solyc01g005340	GO:0005515	protein binding	MF
Solyc01g005350	GO:0008168	methyltransferase activity	MF
Solyc01g005370	GO:0005509	calcium ion binding	MF
Solyc01g005390	GO:0016787	hydrolase activity	MF
Solyc01g005430	GO:0005515	protein binding	MF
Solyc01g005450	GO:0005515	protein binding	MF
Solyc01g005460	GO:0007017	microtubule-based process	BP
Solyc01g005460	GO:0030286	dynein complex	CC
Solyc01g005490	GO:0016787	hydrolase activity	MF
Solyc01g005510	GO:0005507	copper ion binding	MF
Solyc01g005510	GO:0016491	oxidoreductase activity	MF
Solyc01g005510	GO:0055114	oxidoreductase process	MF
Solyc01g005540	GO:0000166	nucleotide binding	MF
Solyc01g005540	GO:0004812	aminoacyl-tRNA ligase activity	MF
Solyc01g005540	GO:0005524	ATP binding	MF
Solyc01g005540	GO:0006418	tRNA aminoacylation for protein translation	BP
Solyc01g005560	GO:0016616	"oxidoreductase activity	 acting on the CH-OH group of donors	 NAD or NADP as acceptor"	MF
Solyc01g005560	GO:0055114	oxidoreductase process	MF
Solyc01g005600	GO:0045454	cell redox homeostasis	BP
Solyc01g005610	GO:0016788	"hydrolase activity	 acting on ester bonds"	MF
Solyc01g005630	GO:0003700	DNA-binding transcription factor activity	MF
Solyc01g005630	GO:0006355	regulation of DNA-templated transcription	BP
Solyc01g005730	GO:0005515	protein binding	MF
Solyc01g005750	GO:0016702	"oxidoreductase activity	 acting on single donors with incorporation of molecular oxygen	 incorporation of two atoms of oxygen"	MF
Solyc01g005750	GO:0046872	metal ion binding	MF
Solyc01g005750	GO:0055114	oxidoreductase process	MF
Solyc01g005760	GO:0005515	protein binding	MF
Solyc01g005780	GO:0005515	protein binding	MF
Solyc01g005820	GO:0003676	nucleic acid binding	MF
Solyc01g005830	GO:0004553	"hydrolase activity	 hydrolyzing O-glycosyl compounds"	MF
Solyc01g005830	GO:0005975	carbohydrate metabolic process	BP
Solyc01g005900	GO:0016747	"acyltransferase activity	 transferring groups other than amino-acyl groups"	MF
Solyc01g005920	GO:0016020	membrane	CC
Solyc01g005920	GO:0022857	transmembrane transporter activity	MF
Solyc01g005920	GO:0055085	transmembrane transport	BP
Solyc01g005950	GO:0016787	hydrolase activity	MF
Solyc01g005960	GO:0003676	nucleic acid binding	MF
Solyc01g005960	GO:0005524	ATP binding	MF
Solyc01g005970	GO:0005515	protein binding	MF
Solyc01g006000	GO:0004584	GO:0004584	
Solyc01g006000	GO:0006506	GPI anchor biosynthetic process	BP
Solyc01g006100	GO:0003682	chromatin binding	MF
Solyc01g006110	GO:0009966	regulation of signal transduction	BP
Solyc01g006120	GO:0004672	protein kinase activity	MF
Solyc01g006120	GO:0005524	ATP binding	MF
Solyc01g006120	GO:0006468	protein phosphorylation	BP
Solyc01g006150	GO:0006812	monoatomic cation transport	BP
Solyc01g006150	GO:0008324	monoatomic cation transmembrane transporter activity	MF
Solyc01g006150	GO:0016021	integral component of membrane	CC
Solyc01g006150	GO:0055085	transmembrane transport	BP
Solyc01g006180	GO:0005525	GTP binding	MF
Solyc01g006190	GO:0005634	nucleus	CC
Solyc01g006190	GO:0006511	ubiquitin-dependent protein catabolic process	BP
Solyc01g006190	GO:0007275	multicellular organism development	BP
Solyc01g006210	GO:0006281	DNA repair	BP
Solyc01g006210	GO:0030915	Smc5-Smc6 complex	CC
Solyc01g006220	GO:0005515	protein binding	MF
Solyc01g006250	GO:0005515	protein binding	MF
Solyc01g006260	GO:0004540	ribonuclease activity	MF
Solyc01g006260	GO:0008033	tRNA processing	BP
Solyc01g006280	GO:0004329	formate-tetrahydrofolate ligase activity	MF
Solyc01g006280	GO:0005524	ATP binding	MF
Solyc01g006300	GO:0004601	peroxidase activity	MF
Solyc01g006300	GO:0006979	response to oxidative stress	BP
Solyc01g006300	GO:0020037	heme binding	MF
Solyc01g006300	GO:0055114	oxidoreductase process	MF
Solyc01g006310	GO:0004601	peroxidase activity	MF
Solyc01g006310	GO:0006979	response to oxidative stress	BP
Solyc01g006310	GO:0020037	heme binding	MF
Solyc01g006310	GO:0055114	oxidoreductase process	MF
Solyc01g006340	GO:0003676	nucleic acid binding	MF
Solyc01g006340	GO:0005524	ATP binding	MF
Solyc01g006350	GO:0000148	"1	3-beta-D-glucan synthase complex"	CC
